,l_knee_pos,l_hall_pos,l_knee_vel,l_hall_vel,l_knee_eff,r_knee_pos,r_hall_pos,r_knee_vel,r_hall_vel,r_knee_eff,imu,l_pressure,r_pressure,command,timestamp
33,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0001554489135742,-0.8291457197628915,0.0,1.1315851120409643,-0.2670309245586395,"[0.06035467982292175, -0.12612809240818024, -0.2945325970649719, -0.9453568458557129, -0.021305613219738007, -0.07456964254379272, -0.06711267679929733, -3.512636423110962, -0.13205957412719727, 9.13823413848877]","[0.0, 0.005632862881648637, 0.0, 0.0]","[0.29803427854078335, 0.0, 1.3154903798975337, 0.0]",[],1661436447.987779
34,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0016894340515137,-0.8442210964858532,0.0,-3.0140003284534536,-0.2603551745414734,"[0.060376036912202835, -0.12617598474025726, -0.29442864656448364, -0.9453814625740051, -0.022370893508195877, -0.07350436598062515, -0.06178627535700798, -3.6037895679473877, -0.12248744070529938, 9.02928638458252]","[0.0, 0.0, 0.0, 0.0]","[0.40266588199861825, 0.0, 1.3618575829534052, 0.0]",[],1661436447.9927807
35,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0016894340515137,-0.8341708453372121,0.0,1.9804467274489077,-0.2603551745414734,"[0.06040069833397865, -0.12622594833374023, -0.29428398609161377, -0.9454182982444763, -0.023436173796653748, -0.07776548713445663, -0.05645987391471863, -3.5654091835021973, -0.08419889956712723, 9.076654434204102]","[0.0, 0.0, 0.0, 0.0]","[0.4377425458440081, 0.0, 1.337243031247802, 0.0]",[],1661436447.9978554
36,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0016894340515137,-0.8341708453372121,0.0,0.0,-0.2603551745414734,"[0.06042936071753502, -0.1262890100479126, -0.29415541887283325, -0.9454480409622192, -0.024501454085111618, -0.0756349265575409, -0.05113346874713898, -3.5222315788269043, -0.12248744070529938, 9.0387601852417]","[0.0, 0.0, 0.0, 0.0]","[0.4656238711088002, 0.0, 1.2648299015683286, 0.0]",[],1661436448.0033104
37,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0016894340515137,-0.8341708453372121,0.0,0.0,-0.2603551745414734,"[0.06044813245534897, -0.12631726264953613, -0.2940804660320282, -0.9454663395881653, -0.023436173796653748, -0.07670020312070847, -0.049002908170223236, -3.5222315788269043, -0.15120385587215424, 9.11454963684082]","[0.011349708987937511, 0.0, 0.0, 0.0]","[0.4689214565635328, 0.0, 1.2505195503109918, 0.0]",[],1661436448.0083268
38,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0016894340515137,-0.8341708453372121,0.0,0.0,-0.2670309245586395,"[0.06046647951006889, -0.12637707591056824, -0.29399561882019043, -0.9454835653305054, -0.023436173796653748, -0.07670020312070847, -0.04154594615101814, -3.584599494934082, -0.09377103298902512, 8.99612808227539]","[0.08642049647784826, 0.0, 0.0, 0.0]","[0.38347697775575906, 0.0, 1.1320254925592468, 0.0]",[],1661436448.0147285
39,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0016894340515137,-0.8341708453372121,0.0,0.0,-0.2670309245586395,"[0.060481637716293335, -0.1264583021402359, -0.2939061224460602, -0.94549959897995, -0.022370893508195877, -0.07670020312070847, -0.03408898040652275, -3.613384485244751, -0.07462676614522934, 9.024550437927246]","[0.019158562185652973, 0.0, 0.0, 0.0]","[0.33760752848857234, 0.0, 1.150915394073517, 0.0]",[],1661436448.020477
40,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0016894340515137,-0.8341708453372121,0.0,0.0,-0.2603551745414734,"[0.0604981929063797, -0.12651383876800537, -0.293843150138855, -0.9455106854438782, -0.024501454085111618, -0.08522245287895203, -0.03302370011806488, -3.5893969535827637, -0.10812924057245255, 8.981917381286621]","[0.0, 0.0, 0.0, 0.0]","[0.39876768397455364, 0.0, 1.2353512235835191, 0.0]",[],1661436448.0248537
41,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0016894340515137,-0.8341708453372121,0.0,0.0,-0.2670309245586395,"[0.06050450727343559, -0.12659473717212677, -0.29377374053001404, -0.9455209970474243, -0.022370893508195877, -0.08522245287895203, -0.026632016524672508, -3.6373722553253174, -0.0698406994342804, 8.934550285339355]","[0.0, 0.0, 0.0, 0.0]","[0.4236499504764811, 0.0, 1.1672305196967159, 0.0]",[],1661436448.0336134
42,1.0037134885787964,0.6005434894468635,0.0,0.46505489757171126,0.0,-1.0016894340515137,-0.8341708453372121,0.0,0.0,-0.2603551745414734,"[0.060506947338581085, -0.12663932144641876, -0.29374265670776367, -0.9455245137214661, -0.023436173796653748, -0.0862877294421196, -0.019175050780177116, -3.5941944122314453, -0.02198002114892006, 9.01981258392334]","[0.0, 0.0, 0.0, 0.0]","[0.41135874791875066, 0.0, 1.1761024957463198, 0.0]",[],1661436448.0394566
43,1.0037134885787964,0.6005434894468635,0.0,0.0,0.0,-1.0016894340515137,-0.8341708453372121,0.0,0.0,-0.2603551745414734,"[0.06050582230091095, -0.12669169902801514, -0.29373160004615784, -0.9455209970474243, -0.02556673437356949, -0.08202660828828812, -0.015979209914803505, -3.6469671726226807, -0.026766089722514153, 8.953496932983398]","[0.0, 0.0, 0.0, 0.0]","[0.3313131087619726, 0.0, 1.2121663478345883, 0.0]",[],1661436448.043776
